Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Badge Personalizada (product.metafields.corneta.custom_tag),Badge personalizada cor (product.metafields.corneta.custom_tag_color),Subtítulo do produto (product.metafields.corneta.product_subtitle),Versões - Produtos (product.metafields.corneta.product_versions),Ocultar produto - Redirecionamento (product.metafields.corneta.redirect_product),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Ocultar produto - Busca & SEO (product.metafields.seo.hidden),Grupo de idade (product.metafields.shopify.age-group),Cor (product.metafields.shopify.color-pattern),Tamanho (product.metafields.shopify.size),Tipo de comprimento da manga (product.metafields.shopify.sleeve-length-type),Gênero alvo (product.metafields.shopify.target-gender),Tipo de comprimento do top (product.metafields.shopify.top-length-type),Produtos complementares (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configurações de produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsionamentos de produtos na pesquisa (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
jogo-faz-ou-bebe-original-1,Jogo Faz ou Bebe Original - O jogo de bebida nº1 do Brasil,"<p><span>O Faz ou Bebe é um jogo de cartas divertido com desafios que misturam humor e ousadia. Ideal para esquentar festas e reuniões com amigos.</span></p>
<p><span>🤪 <strong>O melhor jogo do  Brasil:</strong> Sueca, eu nunca, kama sutra… Tudo isso em um jogo só. São diversos desafios que vão deixar sua noite muito mais divertida </span></p>
<p><span>🥳 <strong>Perfeito para esquentas: </strong>Passe seu tempo com quem você gosta bebendo e rindo. O Faz ou Bebe é ideal pra animar sua noite. </span></p>
<p><span>🙈 <strong>Sem cartas entediantes</strong>: São 200 cartas com diversos desafios diferentes. Perfeitos para todo mundo que quer curtir e aproveitar o seu rolê. </span></p>
<p><span>👉 <strong>Combinação perfeita:</strong> Quer beber bastante? Quer um rolê engraçado com seus amigos? O Faz ou Bebe é pra você! </span></p>
<p><span>🔥 <strong>Mude o rolê:</strong> Convide seus amigos e prepare-se pois sua noite jamais será a mesma!</span></p>",Corneta Jogos,Uncategorized,"","",true,Title,Default Title,,,,,,,,L10003,445.0,shopify,continue,manual,104.90,139.90,true,false,,,,,'7898973480157,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/angulada-frente-amarela.png?v=1756119749,1,"",false,,,,,,,,,,,,,,MAIS VENDIDO,Primário,"Ou você faz, ou você bebe. Simples e divertido",,,,,,,,,,,,,,,,kg,,16.78,active
jogo-faz-ou-bebe-original-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/titulos.png?v=1730917237,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-original-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/10.png?v=1754922916,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-original-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/7.webp?v=1754921817,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-original-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/12_6397ae7d-e3ce-42c9-baf6-8380011b9a55.png?v=1754922829,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-original-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2_dbed5c51-6e62-451a-ad94-118dacb8d691.png?v=1754921817,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-original-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/8.webp?v=1754921817,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-original-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/14.png?v=1754921817,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jogo-faz-ou-bebe-original-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/11.png?v=1754921817,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noite-das-garotas-1,Jogo Noite das Garotas - Uma desculpa perfeita para encontrar as amigas,"<p>Noite das Garotas é um jogo feito para quebrar a rotina e trazer diversão para mulheres. Com 200 cartas que animam e envolvem ele cria momentos autênticos e divertidos para encontro entre amigas 🍹</p>
<p><strong>💕Fortaleça amizades</strong>: Transforme encontros com as amigas em noites inesquecíveis com risos e conversas profundas.</p>
<p><strong>👯♂️Criatividade e diversão</strong>: Cada carta é projetada para criar momentos únicos e animar a noite.</p>
<p><strong>🧩Memórias garantidas</strong>: Um jogo que transforma qualquer noite comum em uma experiência especial.</p>",Corneta Jogos,Toys & Games > Games > Card Games,"",festa,true,Title,Default Title,,,,,,,,L22001,420.0,shopify,continue,manual,169.90,,true,false,,,,,'7898973480164,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/frente-amarela.png?v=1758821606,1,"",false,,,1247,,,,,,,,,,,GIRLS NIGHT 💅,Rosa,Vinho + amigas + fofoca: receita da girls night perfeita,,,,,,,,,,,,,,,,kg,,18.78,active
noite-das-garotas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/10_31d8aae4-0ff3-4dd8-87a9-05973fc38f74.png?v=1758821606,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noite-das-garotas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/14_6ea61791-2dff-468a-8ba5-3f1bdd22feac.png?v=1758821606,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noite-das-garotas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/9.png?v=1758821606,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noite-das-garotas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/13_94688d20-980b-4524-88a3-bb3d1eeedd62.png?v=1758821606,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noite-das-garotas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/11_d2d26dca-5191-4d8a-9f6e-010dccf85cbf.png?v=1758821606,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noite-das-garotas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Prancheta_1-3.png?v=1758821606,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noite-das-garotas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Prancheta_1-1_0eb75b4e-1211-4ef8-a57c-4b39ae97adde.png?v=1758821606,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noite-das-garotas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Prancheta_1_cce16b80-7192-449c-84d0-3a4274206137.png?v=1758821606,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noite-das-garotas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Prancheta_1-2.png?v=1758821606,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noite-das-garotas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2_HORAS_1.jpg?v=1758821606,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confissoes-proibidas-1,Jogo Confissões Proibidas,"<p><span>Confissões Proibidas é um jogo intrigante e divertido que explora segredos e histórias inéditas de seus amigos e é ideal para todas as ocasiões.</span></p>
<p>🎭<strong> Revelações Hilárias: </strong>Ria sem parar com as confissões e histórias surpreendentes que cada jogador traz à mesa!</p>
<p>🎉 <strong>Diversão em Grupo: </strong>Perfeito para quebrar o gelo e tornar qualquer encontro uma ocasião memorável cheia de diversão compartilhada.</p>
<p>🤣 <strong>Conexões Inesperadas:</strong> Descubra lados desconhecidos dos seus amigos através de confissões que prometem ser tão divertidas quanto reveladoras.</p>",Corneta Jogos,Toys & Games > Games > Card Games,"","",true,Title,Default Title,,,,,,,,L16001,135.0,shopify,continue,manual,44.90,59.90,true,false,,,,,'7898973480171,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/dd69a6072b8ae58e9cd46ed65943ff56.png?v=1750786373,1,"",false,,,1247,,,,,,,,,,,,,"Segredos revelados, mentiras descobertas e muita zoeira",,,,,,,,,,,,,,,,kg,,7.28,active
confissoes-proibidas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2_b2d87191-993e-4913-9526-a1b559317dae.png?v=1736276247,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confissoes-proibidas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/6_17a5687c-f79a-464a-95de-3d97aafc9ad4.png?v=1754921965,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confissoes-proibidas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2_d189567c-6d3c-4143-8c56-51e03424c5d5.png?v=1754921965,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confissoes-proibidas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/7_ec0ba97c-261e-4ff3-997b-71c582672804.png?v=1754921965,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confissoes-proibidas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/5_aef1ed27-ffe1-410b-b598-e1f9de4f5773.png?v=1754921965,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confissoes-proibidas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/862cb4b60bf40b5d4cbe183464655598.png?v=1754921965,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confissoes-proibidas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/90ff36fd8e919c2039264268696f7425.png?v=1754921965,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confissoes-proibidas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2f75304732e53ebd47bdd1b6d787f850.png?v=1754921965,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desconto-progressivo,Desconto Progressivo,"",Fast Bundle,Uncategorized,"",bundle,true,Title,Default Title,,,,,,,,5c17ee40-d648-46ff-80c8-a337226b0eda,0.0,,continue,manual,76.33,89.80,true,true,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/caixa-frente-amarela_629c4877-9af5-4d2f-910e-918a7e8990d8.png?v=1750277253,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
desconto-progressivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/4_20aaad1e-e4ed-48ff-a300-0dfd51ff1d38.png?v=1750277254,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desconto-progressivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/95c7a743a165e7aa9a276131726cae93_b87ab742-0c36-497d-adc1-8413c18a5e87.png?v=1750277254,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desconto-progressivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/1_cc04f69c-ac31-44bd-99c9-024972aeac13.png?v=1750277253,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desconto-progressivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/1_a9414bdc-efc8-4c8b-ae2a-62f898051166.png?v=1750277253,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desconto-progressivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/angulada-frente-amarela_8219471a-e451-432a-bbbc-4a0c3794699c.png?v=1750277253,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-diversao-em-familia,Combo Diversão em Família,"<p data-start=""208"" data-end=""442"">Se uma noite de jogos já é divertida, imagina três seguidas? Com o Combo Família Corneta, você garante os três jogos mais engraçados da linha e transforma qualquer reunião familiar em um evento memorável (e caótico no melhor sentido).</p>
<p data-start=""444"" data-end=""463"">O que vem no combo:</p>
<p>🤪 <strong data-start=""470"" data-end=""506"">TDAH – Tente Dizer Algo Hilário!</strong><br data-start=""506"" data-end=""509"">Crie frases absurdas, use e abuse do humor de quinta série e prove que você é o mais engraçado da rodada!</p>
<p>🎭 <strong data-start=""621"" data-end=""640"">Família em Ação</strong><br data-start=""640"" data-end=""643"">O jogo de mímica 7 em 1 que faz todo mundo rir, improvisar e passar vergonha com estilo!</p>
<p>🥊 <strong data-start=""738"" data-end=""756"">Pais vs Filhos</strong><br data-start=""756"" data-end=""759"">O duelo definitivo entre gerações: perguntas, desafios e prêmios como não lavar a louça nunca mais (se ganhar, claro).</p>",Corneta Jogos,Uncategorized,"",familia,true,Title,Default Title,,,,,,,,C1001,1800.0,shopify,continue,manual,389.90,449.70,true,false,,,,,Não aplica,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/1_917878c9-f2f0-43f5-9704-3a75d2197531.png?v=1747072579,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
combo-diversao-em-familia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/beneficios.png?v=1747058660,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-diversao-em-familia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/beneficios_059ae43e-5e05-4739-89f2-8384c7c1e8b1.png?v=1747072615,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-diversao-em-familia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/beneficios_44b44433-1b12-4ce7-af0b-aa04525fde90.png?v=1747072615,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-diversao-em-familia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/costas_117ac743-73ea-4025-a817-3f021b521430.png?v=1747072615,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-diversao-em-familia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/costas_07d01230-10cc-49da-acb2-d0cad03a6106.png?v=1747072615,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-diversao-em-familia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/costa.png?v=1747072615,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pais-vs-filhos,Jogo Pais vs Filhos - O duelo de gerações mais divertido,"<p>ESTE JOGO NÃO É PARA OS FRACOS!<br>Se você acha que vai ganhar só porque é pai e sabe o que é VHS ou porque é filho e sabe fazer dancinha do TikTok… achou errado, parça!<br>Pais vs Filhos é pra quem quer brincar em família, rir até a barriga doer e, de quebra, decidir quem vai lavar a louça no domingo (ou passar vergonha no grupo da família).</p>
<p data-start=""108"" data-end=""194"">🥊 <strong data-start=""111"" data-end=""132"">Duelo de gerações</strong>: pais vs filhos em perguntas, desafios e tretas divertidas.</p>
<p data-start=""197"" data-end=""262"">😂 <strong data-start=""200"" data-end=""224"">Rende risadas épicas</strong> com referências de ontem e de hoje.</p>
<p data-start=""265"" data-end=""345"">🎯 <strong data-start=""268"" data-end=""323"">Perfeito pra descobrir quem realmente manda na casa</strong> (spoiler: ninguém).</p>
<p data-start=""348"" data-end=""439"">👨👩👧👦 <strong data-start=""360"" data-end=""389"">Jogaço pra toda a família</strong>, dos 8 aos 80 anos — e cada um com suas manias!</p>
<p data-start=""442"" data-end=""526"">💬 <strong data-start=""445"" data-end=""486"">Estreita laços com conversas hilárias</strong>, histórias inusitadas e muito zoeira.</p>
<p data-start=""529"" data-end=""599"">🧠 <strong data-start=""532"" data-end=""597"">Mistura cultura pop, conhecimentos aleatórios e criatividade.</strong></p>",Corneta Jogos,Uncategorized,"",familia,true,Title,Default Title,,,,,,,,'50002,560.0,shopify,continue,manual,104.90,139.90,true,false,,,,,'7898973480133,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/angulada_5c86433c-993f-417d-8485-35a57ae65f74.png?v=1747069594,1,"",false,,,,,,,,,,,,,,BATALHA DE GERAÇÕES,Primário,O duelo de gerações mais engraçado da família,,,,,,,,,,,,,,,,kg,,22.68,active
pais-vs-filhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/beneficios_44b44433-1b12-4ce7-af0b-aa04525fde90.png?v=1747072615,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pais-vs-filhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/costa.png?v=1747072615,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
familia-em-acao,"Jogo Família em Ação - 200 mímicas, 07 modos de jogo e muita diversão!","<p>🔥 O jogo de mímica 7 em 1 mais divertido para todas as idades!<br>Se você acha que sabe se expressar sem falar nada, está prestes a descobrir o contrário! Em Família em Ação, gestos malucos, caretas épicas e encenações sem noção fazem parte da disputa.<br>Prepare-se para rir, se jogar e ver sua família tentando adivinhar coisas absurdas sem a menor noção do que está acontecendo!</p>
<p data-start=""103"" data-end=""170"">🎭 <strong data-start=""106"" data-end=""140"">7 modos de mímica em 1 só jogo</strong> — diversão que nunca enjoa!</p>
<p data-start=""173"" data-end=""260"">🤪 <strong data-start=""176"" data-end=""221"">Desperta o lado mais engraçado da família</strong> com gestos malucos e caretas épicas.</p>
<p data-start=""263"" data-end=""339"">😂 <strong data-start=""266"" data-end=""302"">Garante risadas do início ao fim</strong>, mesmo quando ninguém acerta nada.</p>
<p data-start=""342"" data-end=""444"">👨👩👧👦 <strong data-start=""354"" data-end=""384"">Ideal para todas as idades</strong> — dos pequenos aos avós, todo mundo entra na brincadeira.</p>
<p data-start=""447"" data-end=""513"">🎉 <strong data-start=""450"" data-end=""511"">Perfeito para festas, férias ou aquele domingo sem graça.</strong></p>",Corneta Jogos,Uncategorized,"",familia,true,Title,Default Title,,,,,,,,'50003,560.0,shopify,continue,manual,104.90,139.90,true,false,,,,,'7898973480140,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/angulada.png?v=1747067549,1,"",false,,,,,,,,,,,,,,,Preto,Mímicas divertidas pra todas as idades,,,,,,,,,,,,,,,,kg,,21.28,active
familia-em-acao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/beneficios_059ae43e-5e05-4739-89f2-8384c7c1e8b1.png?v=1747072615,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
familia-em-acao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/costas_07d01230-10cc-49da-acb2-d0cad03a6106.png?v=1747072615,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdah-tente-dizer-algo-hilario,TDAH (Tente Dizer Algo Hilário) - Prepare-se para rir das combinações mais improváveis,"<p><strong>TDAH - Tente Dizer Algo Hilário! </strong>Um jogo pra quem curte zoeira, aleatoriedades e muita risada! Crie frases absurdas, faça piada de quinta série e dispute o título para ser o mais engraçado da rodada. Fácil de jogar e ideal para famílias!</p>
<p data-end=""204"" data-start=""121"">🎉 <strong data-end=""146"" data-start=""124"">Diversão garantida</strong> para todas as idades — do tio do pavê ao primo do meme.</p>
<p data-end=""282"" data-start=""207"">😂 <strong data-end=""235"" data-start=""210"">Rende risadas sem fim</strong> com <strong>500 </strong>frases absurdas e humor de quinta série.</p>
<p data-end=""350"" data-start=""285"">🧠 <strong data-end=""315"" data-start=""288"">Estimula a criatividade</strong> e o improviso em quem participa.</p>
<p data-end=""419"" data-start=""353"">🏆 <strong data-end=""375"" data-start=""356"">Disputa hilária</strong>: quem faz a galera rir mais leva o ponto!</p>
<p data-end=""503"" data-start=""422"">👨👩👧👦 <strong data-end=""460"" data-start=""434"">Perfeito para famílias</strong>, festas e noites de jogos descontraídas.</p>",Corneta Jogos,Uncategorized,"",familia,true,Title,Default Title,,,,,,,,'50001,1100.0,shopify,continue,manual,141.90,189.90,true,false,,,,,'7898973480126,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Sem_Titulo-1_3cbd3ff8-6f85-4b36-8a0c-42a6d324c258.png?v=1747058660,1,"",false,,,,,,,,,,,,,,MAIS VENDIDO,Secundário,"Hilário, caótico e impossível de jogar sério",,,,,,,,,,,,,,,,kg,,37.78,active
tdah-tente-dizer-algo-hilario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/beneficios.png?v=1747058660,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdah-tente-dizer-algo-hilario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/costas_117ac743-73ea-4025-a817-3f021b521430.png?v=1747072615,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-noite-da-fofoca,Combo Noite da Fofoca,"<p>O combo perfeito pra saber<span> segredos e fofoca com o nosso Combo Noite da Fofoca! Descubra segredos enquanto ri com os amigos e descubra tudo sobre todos 👀</span></p>
<p><strong>Contém:</strong></p>
<p>1x Noite das Garotas</p>
<p>1x Confissões Proibidas</p>
<p>1x Eu Nunca Zoação Deluxe</p>",Corneta Jogos,Uncategorized,combo,combo,true,Title,Default Title,,,,,,,,C1003,0.0,shopify,continue,manual,259.90,309.90,true,false,,,,,Não se aplica,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/1_3201c912-8a04-430f-b9dd-f4653886aff1.png?v=1737633036,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
combo-noite-da-fofoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/deitado-beneficios.png?v=1737633036,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-noite-da-fofoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/4_f15a39be-78a2-40f2-8a0c-bace5b54ee74.png?v=1756119749,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-noite-da-fofoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/1_953b7217-eef9-4653-9e5e-460406f15ad8.png?v=1756119749,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-noite-da-fofoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/Prancheta_1-3.png?v=1758821606,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-noite-da-fofoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/JHO_9612.jpg?v=1761563722,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-noite-da-fofoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/2_d189567c-6d3c-4143-8c56-51e03424c5d5.png?v=1754921965,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo-entre-amigas,"Combo Entre Amigas - Tudo o que vocês precisam pra rir, fofocar e se divertir","<p>Transforme qualquer encontro em uma noite inesquecível com o <strong>Combo Entre Amigas</strong>! Essa seleção especial de jogos é perfeita para criar memórias, arrancar gargalhadas e fortalecer os laços de amizade. Com atividades que vão de conversas profundas a desafios hilários, este combo é a desculpa perfeita para abrir uma garrafa, relaxar e curtir cada momento com suas melhores companheiras. Prepare-se para risos, histórias épicas e aquele clima único que só uma noite entre amigas pode proporcionar! 🍹💃✨</p>
<p> </p>
<p>Contém:</p>
<p>1x Noite das Garotas</p>
<p>1x Adultos em Ação</p>
<p>1x Sorriu, Bebeu!</p>",Corneta Jogos,Uncategorized,combo,combo,true,Title,Default Title,,,,,,,,C1004,700.0,shopify,continue,manual,309.90,399.90,true,false,,,,,Não se aplica,https://cdn.shopify.com/s/files/1/0656/8620/8683/files/SemTitulo-2_3608cf6c-96eb-4e53-a229-299bad5ff671.png?v=1733425452,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
